Unnamed: 0.1,Unnamed: 0,Time,PriceArea,ConsumptionValue,DayAheadPriceEUR,WeatherWindSpeed,WeatherTemperature,Year,Month,Day,Hour,WeatherTemperature_F,Solar_MWh,Wind_Offshore,Wind_Onshore,ym,tempbin,tempbin2,block,YearMonthDay,Price_Area,Price_gas,Price_coal,Price_EUA,IsHoliday,B16,B18,B19,Price_gas_ttf
411274.0,611037.0,2016-11-20 19:00:00,RO,6943.0,31.0197472,6.506165027618408,278.9623413085937,2016.0,11.0,20.0,19.0,42.46221435546869,0.0,0.0,752.0,2016-11,3.0,1.803039647969771,5.0,2016-11-20,cz,17.9,86.5,5.58,0.0,,,,
1232780.0,1846785.0,2020-07-01 11:00:00,CZ,8146.0,31.01,6.292582511901856,297.1698303222656,2020.0,7.0,1.0,11.0,75.23569458007816,1404.0,0.0,68.0,2020-07,6.0,5.660409738946803,3.0,2020-07-01,cz,6.3,50.25,27.71,0.0,,,,
1693041.0,2465651.0,2022-04-17 18:00:00,IT_CALA,678.0,237.92,7.698842525482178,284.9032287597656,2022.0,4.0,17.0,18.0,53.155811767578165,0.0,0.0,443.0,2022-04,4.0,2.825540324670201,5.0,2022-04-17,cegh,79.025,321.35,79.97,1.0,,,,
1291563.0,1928613.0,2020-09-26 23:00:00,IT_SICI,1531.0,69.37,8.97646713256836,291.64508056640625,2020.0,9.0,26.0,23.0,65.29114501953129,0.0,0.0,503.0,2020-09,5.0,4.2629336179614645,6.0,2020-09-26,cegh,11.925,52.3,26.17,0.0,,,,
304884.0,453848.0,2016-05-27 08:00:00,AT,5844.0,37.6,3.384010076522827,287.5263977050781,2016.0,5.0,27.0,8.0,57.877515869140666,192.5,0.0,50.75,2016-05,4.0,3.3498068431826296,2.0,2016-05-27,cegh,13.025,48.2,6.04,0.0,,,,
1878676.0,2691841.0,2022-12-15 12:00:00,CH,9343.0,456.99,3.578033208847046,273.3389587402344,2022.0,12.0,15.0,12.0,32.34012573242192,35.0,0.0,11.0,2022-12,2.0,1.0458837323888583,3.0,2022-12-15,cegh,141.5,238.5,85.2,0.0,,,,
1940012.0,2765039.0,2023-03-03 12:00:00,SK,3316.0,135.22,4.453381061553955,279.5343322753906,2023.0,3.0,3.0,12.0,43.49179809570317,232.0,0.0,0.0,2023-03,3.0,1.8915365015974093,3.0,2023-03-03,cz,47.3,131.25,92.27,0.0,,,,
1364468.0,2030002.0,2021-01-13 12:00:00,IT_SUD,2548.0,75.66,6.672850131988525,282.60986328125,2021.0,1.0,13.0,12.0,49.02775390625004,1623.0,0.0,601.0,2021-01,3.0,2.403720653091816,3.0,2021-01-13,cegh,21.9,70.25,33.65,0.0,,,,
2082977.0,2940969.0,2023-08-31 01:00:00,SK,2173.0,91.33,3.751606941223145,286.9452819824219,2023.0,8.0,31.0,1.0,56.83150756835941,0.0,0.0,0.0,2023-08,4.0,3.2298202524924933,1.0,2023-08-31,cz,34.075,118.75,86.03,0.0,,,,
1197861.0,1796942.0,2020-05-10 12:00:00,IT_SARD,641.0,10.0,7.210378646850586,294.3016662597656,2020.0,5.0,10.0,12.0,70.07299926757817,255.0,0.0,255.0,2020-05,6.0,4.910225226354011,3.0,2020-05-10,cegh,6.8,40.05,19.35,0.0,,,,
